Data_minute,Valor,Ticker
2024-11-25 00:00,"566.170,22",BTC-BRL
2024-11-25 00:01,"566.483,61",BTC-BRL
2024-11-25 00:02,"565.926,63",BTC-BRL
2024-11-25 00:03,"565.987,67",BTC-BRL
2024-11-25 00:04,"566.095,05",BTC-BRL
2024-11-25 00:05,"566.462,14",BTC-BRL
2024-11-25 00:06,"566.088,23",BTC-BRL
2024-11-25 00:07,"565.810,47",BTC-BRL
2024-11-25 00:08,"565.665,26",BTC-BRL
2024-11-25 00:09,"565.675,54",BTC-BRL
2024-11-25 00:10,"565.737,72",BTC-BRL
2024-11-25 00:11,"565.737,72",BTC-BRL
2024-11-25 00:12,"565.983,19",BTC-BRL
2024-11-25 00:14,"566.320,18",BTC-BRL
2024-11-25 00:15,"566.460,95",BTC-BRL
2024-11-25 00:16,"566.714,46",BTC-BRL
2024-11-25 00:17,"566.791,65",BTC-BRL
2024-11-25 00:18,"567.041,70",BTC-BRL
2024-11-25 00:19,"567.236,12",BTC-BRL
2024-11-25 00:20,"567.236,12",BTC-BRL
2024-11-25 00:21,"567.882,11",BTC-BRL
2024-11-25 00:22,"568.004,02",BTC-BRL
2024-11-25 00:23,"568.004,02",BTC-BRL
2024-11-25 00:24,"568.282,20",BTC-BRL
2024-11-25 00:25,"567.836,69",BTC-BRL
2024-11-25 00:26,"567.836,69",BTC-BRL
2024-11-25 00:27,"567.841,61",BTC-BRL
2024-11-25 00:28,"567.824,30",BTC-BRL
2024-11-25 00:29,"567.830,05",BTC-BRL
2024-11-25 00:30,"567.830,05",BTC-BRL
2024-11-25 00:31,"567.596,19",BTC-BRL
2024-11-25 00:32,"567.232,97",BTC-BRL
2024-11-25 00:33,"567.386,02",BTC-BRL
2024-11-25 00:34,"567.386,02",BTC-BRL
2024-11-25 00:35,"567.434,84",BTC-BRL
2024-11-25 00:36,"567.657,03",BTC-BRL
2024-11-25 00:37,"567.758,97",BTC-BRL
2024-11-25 00:38,"567.805,58",BTC-BRL
2024-11-25 00:39,"567.703,33",BTC-BRL
2024-11-25 00:40,"567.703,33",BTC-BRL
2024-11-25 00:41,"567.900,34",BTC-BRL
2024-11-25 00:42,"568.092,01",BTC-BRL
2024-11-25 00:43,"568.225,51",BTC-BRL
2024-11-25 00:44,"568.225,51",BTC-BRL
2024-11-25 00:45,"568.401,80",BTC-BRL
2024-11-25 00:46,"568.401,80",BTC-BRL
2024-11-25 00:47,"568.437,61",BTC-BRL
2024-11-25 00:48,"568.437,61",BTC-BRL
2024-11-25 00:49,"568.350,72",BTC-BRL
2024-11-25 00:50,"568.735,10",BTC-BRL
2024-11-25 00:51,"568.699,76",BTC-BRL
2024-11-25 00:52,"569.112,67",BTC-BRL
2024-11-25 00:53,"569.112,67",BTC-BRL
2024-11-25 00:54,"569.173,72",BTC-BRL
2024-11-25 00:55,"569.173,72",BTC-BRL
2024-11-25 00:56,"568.917,54",BTC-BRL
2024-11-25 00:57,"568.958,30",BTC-BRL
2024-11-25 00:58,"569.111,68",BTC-BRL
2024-11-25 00:59,"569.111,68",BTC-BRL
2024-11-25 01:00,"568.906,20",BTC-BRL
2024-11-25 01:01,"568.967,06",BTC-BRL
2024-11-25 01:02,"569.052,39",BTC-BRL
2024-11-25 01:03,"569.146,26",BTC-BRL
2024-11-25 01:04,"569.399,39",BTC-BRL
2024-11-25 01:05,"569.500,15",BTC-BRL
2024-11-25 01:06,"569.176,48",BTC-BRL
2024-11-25 01:07,"569.176,48",BTC-BRL
2024-11-25 01:08,"569.290,47",BTC-BRL
2024-11-25 01:09,"569.560,18",BTC-BRL
2024-11-25 01:10,"569.583,54",BTC-BRL
2024-11-25 01:11,"569.571,69",BTC-BRL
2024-11-25 01:12,"569.832,07",BTC-BRL
2024-11-25 01:13,"570.003,49",BTC-BRL
2024-11-25 01:14,"570.044,60",BTC-BRL
2024-11-25 01:15,"570.044,60",BTC-BRL
2024-11-25 01:16,"570.044,60",BTC-BRL
2024-11-25 01:17,"570.299,23",BTC-BRL
2024-11-25 01:18,"569.583,25",BTC-BRL
2024-11-25 01:19,"569.487,24",BTC-BRL
2024-11-25 01:20,"569.036,30",BTC-BRL
2024-11-25 01:21,"569.036,30",BTC-BRL
2024-11-25 01:22,"569.075,26",BTC-BRL
2024-11-25 01:23,"569.077,12",BTC-BRL
2024-11-25 01:24,"568.930,23",BTC-BRL
2024-11-25 01:25,"568.797,92",BTC-BRL
2024-11-25 01:26,"568.750,65",BTC-BRL
2024-11-25 01:27,"568.807,39",BTC-BRL
2024-11-25 01:28,"568.596,46",BTC-BRL
2024-11-25 01:29,"568.546,72",BTC-BRL
2024-11-25 01:30,"568.354,00",BTC-BRL
2024-11-25 01:31,"568.354,00",BTC-BRL
2024-11-25 01:32,"568.634,55",BTC-BRL
2024-11-25 01:33,"568.644,87",BTC-BRL
2024-11-25 01:34,"568.848,58",BTC-BRL
2024-11-25 01:35,"568.701,31",BTC-BRL
2024-11-25 01:36,"568.857,83",BTC-BRL
2024-11-25 01:37,"568.809,63",BTC-BRL
2024-11-25 01:38,"568.763,12",BTC-BRL
2024-11-25 01:39,"568.775,59",BTC-BRL
2024-11-25 01:40,"568.775,59",BTC-BRL
2024-11-25 01:41,"568.795,24",BTC-BRL
2024-11-25 01:42,"568.784,78",BTC-BRL
2024-11-25 01:43,"568.784,78",BTC-BRL
2024-11-25 01:44,"568.860,89",BTC-BRL
2024-11-25 01:45,"568.847,59",BTC-BRL
2024-11-25 01:46,"568.880,56",BTC-BRL
2024-11-25 01:47,"568.723,40",BTC-BRL
2024-11-25 01:48,"568.671,77",BTC-BRL
2024-11-25 01:49,"568.472,32",BTC-BRL
2024-11-25 01:50,"568.010,08",BTC-BRL
2024-11-25 01:51,"568.032,99",BTC-BRL
2024-11-25 01:52,"568.150,79",BTC-BRL
2024-11-25 01:53,"568.055,12",BTC-BRL
2024-11-25 01:54,"568.482,03",BTC-BRL
2024-11-25 01:55,"568.626,79",BTC-BRL
2024-11-25 01:56,"568.617,31",BTC-BRL
2024-11-25 01:57,"568.421,19",BTC-BRL
2024-11-25 01:58,"568.675,82",BTC-BRL
2024-11-25 01:59,"568.758,73",BTC-BRL
2024-11-25 02:00,"568.758,73",BTC-BRL
2024-11-25 02:01,"568.899,68",BTC-BRL
2024-11-25 02:02,"568.837,35",BTC-BRL
2024-11-25 02:03,"569.050,47",BTC-BRL
2024-11-25 02:04,"568.699,21",BTC-BRL
2024-11-25 02:05,"568.818,00",BTC-BRL
2024-11-25 02:06,"568.818,00",BTC-BRL
2024-11-25 02:07,"569.443,70",BTC-BRL
2024-11-25 02:08,"569.443,70",BTC-BRL
2024-11-25 02:09,"569.769,49",BTC-BRL
2024-11-25 02:10,"569.769,49",BTC-BRL
2024-11-25 02:11,"569.580,11",BTC-BRL
2024-11-25 02:12,"569.614,31",BTC-BRL
2024-11-25 02:13,"569.713,01",BTC-BRL
2024-11-25 02:14,"570.370,03",BTC-BRL
2024-11-25 02:15,"570.370,03",BTC-BRL
2024-11-25 02:16,"570.375,21",BTC-BRL
2024-11-25 02:17,"570.489,70",BTC-BRL
2024-11-25 02:18,"570.489,70",BTC-BRL
2024-11-25 02:19,"570.528,93",BTC-BRL
2024-11-25 02:20,"570.532,94",BTC-BRL
2024-11-25 02:21,"570.602,27",BTC-BRL
2024-11-25 02:22,"570.611,11",BTC-BRL
2024-11-25 02:23,"570.596,50",BTC-BRL
2024-11-25 02:24,"570.738,51",BTC-BRL
2024-11-25 02:25,"571.237,84",BTC-BRL
2024-11-25 02:26,"571.246,45",BTC-BRL
2024-11-25 02:27,"571.342,18",BTC-BRL
2024-11-25 02:28,"571.269,67",BTC-BRL
2024-11-25 02:29,"571.394,26",BTC-BRL
2024-11-25 02:30,"571.394,26",BTC-BRL
2024-11-25 02:31,"571.387,33",BTC-BRL
2024-11-25 02:32,"571.526,08",BTC-BRL
2024-11-25 02:33,"571.637,93",BTC-BRL
2024-11-25 02:34,"571.514,55",BTC-BRL
2024-11-25 02:35,"571.745,86",BTC-BRL
2024-11-25 02:36,"571.582,34",BTC-BRL
2024-11-25 02:37,"571.582,34",BTC-BRL
2024-11-25 02:38,"571.334,21",BTC-BRL
2024-11-25 02:39,"570.683,09",BTC-BRL
2024-11-25 02:40,"570.523,44",BTC-BRL
2024-11-25 02:41,"570.523,44",BTC-BRL
2024-11-25 02:42,"570.449,81",BTC-BRL
2024-11-25 02:43,"570.807,10",BTC-BRL
2024-11-25 02:44,"570.807,10",BTC-BRL
2024-11-25 02:45,"570.888,34",BTC-BRL
2024-11-25 02:46,"570.957,41",BTC-BRL
2024-11-25 02:47,"571.167,29",BTC-BRL
2024-11-25 02:48,"571.091,07",BTC-BRL
2024-11-25 02:49,"570.867,92",BTC-BRL
2024-11-25 02:50,"570.847,56",BTC-BRL
2024-11-25 02:51,"570.639,30",BTC-BRL
2024-11-25 02:52,"570.639,30",BTC-BRL
2024-11-25 02:53,"570.471,51",BTC-BRL
2024-11-25 02:54,"570.965,71",BTC-BRL
2024-11-25 02:55,"570.965,71",BTC-BRL
2024-11-25 02:56,"571.328,01",BTC-BRL
2024-11-25 02:57,"571.288,12",BTC-BRL
2024-11-25 02:58,"571.125,11",BTC-BRL
2024-11-25 02:59,"571.204,01",BTC-BRL
2024-11-25 03:00,"571.280,75",BTC-BRL
2024-11-25 03:01,"571.280,75",BTC-BRL
2024-11-25 03:02,"571.498,18",BTC-BRL
2024-11-25 03:03,"571.596,50",BTC-BRL
2024-11-25 03:04,"571.596,50",BTC-BRL
2024-11-25 03:05,"571.596,50",BTC-BRL
2024-11-25 03:06,"571.472,79",BTC-BRL
2024-11-25 03:07,"571.516,04",BTC-BRL
2024-11-25 03:08,"571.420,31",BTC-BRL
2024-11-25 03:09,"571.641,35",BTC-BRL
2024-11-25 03:10,"571.766,45",BTC-BRL
2024-11-25 03:11,"572.419,16",BTC-BRL
2024-11-25 03:12,"572.419,16",BTC-BRL
2024-11-25 03:13,"572.441,64",BTC-BRL
2024-11-25 03:14,"572.565,37",BTC-BRL
2024-11-25 03:15,"572.749,24",BTC-BRL
2024-11-25 03:16,"572.749,24",BTC-BRL
2024-11-25 03:17,"572.630,00",BTC-BRL
2024-11-25 03:18,"572.630,00",BTC-BRL
2024-11-25 03:19,"572.682,11",BTC-BRL
2024-11-25 03:20,"572.788,08",BTC-BRL
2024-11-25 03:21,"572.966,37",BTC-BRL
2024-11-25 03:22,"572.966,37",BTC-BRL
2024-11-25 03:23,"572.845,08",BTC-BRL
2024-11-25 03:24,"572.845,08",BTC-BRL
2024-11-25 03:25,"572.835,59",BTC-BRL
2024-11-25 03:26,"572.811,26",BTC-BRL
2024-11-25 03:27,"572.811,53",BTC-BRL
2024-11-25 03:28,"572.924,70",BTC-BRL
