Data_minute,Valor,Ticker
2024-11-25 10:05,"R$ 57,33",AMZO34:BVMF
2024-11-25 11:13,"R$ 57,89",AMZO34:BVMF
2024-11-25 11:14,"R$ 57,88",AMZO34:BVMF
2024-11-25 11:15,"R$ 57,88",AMZO34:BVMF
2024-11-25 11:16,"R$ 57,81",AMZO34:BVMF
2024-11-25 11:17,"R$ 57,84",AMZO34:BVMF
2024-11-25 11:18,"R$ 57,81",AMZO34:BVMF
2024-11-25 11:19,"R$ 57,81",AMZO34:BVMF
2024-11-25 11:20,"R$ 57,81",AMZO34:BVMF
2024-11-25 11:21,"R$ 57,84",AMZO34:BVMF
2024-11-25 11:22,"R$ 57,84",AMZO34:BVMF
2024-11-25 11:23,"R$ 57,84",AMZO34:BVMF
2024-11-25 11:24,"R$ 57,81",AMZO34:BVMF
2024-11-25 11:25,"R$ 57,81",AMZO34:BVMF
2024-11-25 11:26,"R$ 57,83",AMZO34:BVMF
2024-11-25 11:27,"R$ 57,80",AMZO34:BVMF
2024-11-25 11:28,"R$ 57,78",AMZO34:BVMF
2024-11-25 11:29,"R$ 57,77",AMZO34:BVMF
2024-11-25 11:30,"R$ 57,75",AMZO34:BVMF
2024-11-25 11:31,"R$ 57,76",AMZO34:BVMF
2024-11-25 11:32,"R$ 57,77",AMZO34:BVMF
2024-11-25 11:33,"R$ 57,81",AMZO34:BVMF
2024-11-25 11:34,"R$ 57,82",AMZO34:BVMF
2024-11-25 11:35,"R$ 57,84",AMZO34:BVMF
2024-11-25 11:36,"R$ 57,84",AMZO34:BVMF
2024-11-25 11:37,"R$ 57,82",AMZO34:BVMF
2024-11-25 11:38,"R$ 57,78",AMZO34:BVMF
2024-11-25 11:39,"R$ 57,73",AMZO34:BVMF
2024-11-25 11:40,"R$ 57,73",AMZO34:BVMF
2024-11-25 11:41,"R$ 57,68",AMZO34:BVMF
2024-11-25 11:42,"R$ 57,66",AMZO34:BVMF
2024-11-25 11:43,"R$ 57,68",AMZO34:BVMF
2024-11-25 11:44,"R$ 57,62",AMZO34:BVMF
2024-11-25 11:45,"R$ 57,81",AMZO34:BVMF
2024-11-25 11:46,"R$ 57,92",AMZO34:BVMF
2024-11-25 11:47,"R$ 58,08",AMZO34:BVMF
2024-11-25 11:48,"R$ 58,13",AMZO34:BVMF
2024-11-25 11:49,"R$ 58,16",AMZO34:BVMF
2024-11-25 11:50,"R$ 58,26",AMZO34:BVMF
2024-11-25 11:51,"R$ 58,25",AMZO34:BVMF
2024-11-25 11:52,"R$ 58,29",AMZO34:BVMF
2024-11-25 11:53,"R$ 58,23",AMZO34:BVMF
2024-11-25 11:54,"R$ 58,34",AMZO34:BVMF
