Data_minute,Valor,Ticker
2024-11-18 19:17,"524.472,06",BTC-BRL
2024-11-18 19:18,"524.472,06",BTC-BRL
2024-11-18 19:19,"524.329,70",BTC-BRL
2024-11-18 19:20,"524.268,50",BTC-BRL
2024-11-18 19:21,"524.266,97",BTC-BRL
2024-11-18 19:22,"524.367,03",BTC-BRL
2024-11-18 19:23,"524.364,21",BTC-BRL
2024-11-18 19:24,"524.445,38",BTC-BRL
2024-11-18 19:25,"524.445,38",BTC-BRL
2024-11-18 19:26,"524.601,69",BTC-BRL
2024-11-18 19:27,"524.540,85",BTC-BRL
2024-11-18 19:28,"524.540,85",BTC-BRL
2024-11-18 19:29,"524.550,04",BTC-BRL
2024-11-18 19:30,"524.758,69",BTC-BRL
2024-11-18 19:31,"524.805,83",BTC-BRL
2024-11-18 19:32,"524.805,83",BTC-BRL
2024-11-18 19:33,"524.545,91",BTC-BRL
2024-11-18 19:34,"524.485,32",BTC-BRL
2024-11-18 19:35,"524.401,35",BTC-BRL
2024-11-18 19:36,"524.403,47",BTC-BRL
2024-11-18 19:37,"524.475,58",BTC-BRL
2024-11-18 19:38,"524.475,58",BTC-BRL
2024-11-18 19:39,"525.050,83",BTC-BRL
2024-11-18 19:40,"525.335,54",BTC-BRL
2024-11-18 19:41,"525.453,31",BTC-BRL
2024-11-18 19:42,"525.911,93",BTC-BRL
2024-11-18 19:43,"525.912,39",BTC-BRL
2024-11-18 19:44,"525.646,84",BTC-BRL
2024-11-18 19:45,"525.582,16",BTC-BRL
2024-11-18 19:46,"525.694,01",BTC-BRL
2024-11-18 19:47,"525.748,45",BTC-BRL
2024-11-18 19:48,"525.524,79",BTC-BRL
2024-11-18 19:49,"525.290,55",BTC-BRL
2024-11-18 19:50,"525.290,55",BTC-BRL
2024-11-18 19:51,"524.559,12",BTC-BRL
2024-11-18 19:52,"524.567,85",BTC-BRL
2024-11-18 19:53,"524.567,85",BTC-BRL
2024-11-18 19:54,"524.746,08",BTC-BRL
2024-11-18 19:55,"524.856,46",BTC-BRL
2024-11-18 19:57,"524.680,84",BTC-BRL
2024-11-18 19:58,"524.734,33",BTC-BRL
2024-11-18 19:59,"524.734,33",BTC-BRL
2024-11-18 20:00,"524.682,89",BTC-BRL
2024-11-18 20:01,"524.546,19",BTC-BRL
2024-11-18 20:02,"524.528,82",BTC-BRL
2024-11-18 20:03,"524.121,54",BTC-BRL
2024-11-18 20:04,"524.197,06",BTC-BRL
2024-11-18 20:05,"524.197,06",BTC-BRL
2024-11-18 20:06,"524.081,49",BTC-BRL
2024-11-18 20:07,"524.236,31",BTC-BRL
2024-11-18 20:08,"523.997,08",BTC-BRL
2024-11-18 20:09,"523.751,76",BTC-BRL
2024-11-18 20:10,"523.751,76",BTC-BRL
2024-11-18 20:11,"523.668,99",BTC-BRL
2024-11-18 20:12,"523.008,90",BTC-BRL
2024-11-18 20:13,"523.008,90",BTC-BRL
2024-11-18 20:14,"522.373,54",BTC-BRL
2024-11-18 20:15,"522.373,54",BTC-BRL
2024-11-18 20:16,"522.685,76",BTC-BRL
2024-11-18 20:17,"522.685,76",BTC-BRL
2024-11-18 20:18,"522.412,14",BTC-BRL
2024-11-18 20:19,"522.412,14",BTC-BRL
2024-11-18 20:20,"522.107,76",BTC-BRL
2024-11-18 20:21,"521.884,12",BTC-BRL
2024-11-18 20:22,"521.884,12",BTC-BRL
2024-11-18 20:23,"521.808,01",BTC-BRL
2024-11-18 20:24,"521.796,45",BTC-BRL
2024-11-18 20:25,"521.651,83",BTC-BRL
2024-11-18 20:26,"520.889,06",BTC-BRL
2024-11-18 20:27,"520.861,81",BTC-BRL
2024-11-18 20:28,"520.188,34",BTC-BRL
2024-11-18 20:29,"520.188,34",BTC-BRL
2024-11-18 20:30,"519.763,29",BTC-BRL
2024-11-18 20:31,"519.595,11",BTC-BRL
2024-11-18 20:32,"519.261,17",BTC-BRL
2024-11-18 20:33,"519.519,53",BTC-BRL
2024-11-18 20:34,"519.519,53",BTC-BRL
2024-11-18 20:35,"519.807,72",BTC-BRL
2024-11-18 20:36,"520.136,27",BTC-BRL
2024-11-18 20:37,"520.127,30",BTC-BRL
2024-11-18 20:38,"520.022,75",BTC-BRL
2024-11-18 20:39,"520.441,48",BTC-BRL
2024-11-18 20:40,"520.441,48",BTC-BRL
2024-11-18 20:41,"520.337,90",BTC-BRL
2024-11-18 20:42,"520.381,39",BTC-BRL
2024-11-18 20:43,"520.920,75",BTC-BRL
2024-11-18 20:44,"520.920,75",BTC-BRL
2024-11-18 20:45,"521.405,84",BTC-BRL
2024-11-18 20:46,"521.405,84",BTC-BRL
2024-11-18 20:47,"521.491,46",BTC-BRL
2024-11-18 20:48,"520.923,83",BTC-BRL
2024-11-18 20:49,"520.523,74",BTC-BRL
2024-11-18 20:50,"520.523,74",BTC-BRL
2024-11-18 20:51,"520.507,93",BTC-BRL
2024-11-18 20:52,"520.344,49",BTC-BRL
2024-11-18 20:53,"520.344,49",BTC-BRL
2024-11-18 20:54,"520.066,25",BTC-BRL
2024-11-18 20:55,"520.074,52",BTC-BRL
2024-11-18 20:56,"520.158,50",BTC-BRL
2024-11-18 20:57,"520.183,17",BTC-BRL
2024-11-18 20:58,"520.183,17",BTC-BRL
2024-11-18 20:59,"520.210,37",BTC-BRL
2024-11-18 21:00,"520.188,59",BTC-BRL
2024-11-18 21:01,"520.137,56",BTC-BRL
2024-11-18 21:02,"520.024,01",BTC-BRL
2024-11-18 21:03,"519.926,42",BTC-BRL
2024-11-18 21:04,"519.926,42",BTC-BRL
2024-11-18 21:05,"519.874,57",BTC-BRL
2024-11-18 21:06,"520.068,09",BTC-BRL
2024-11-18 21:07,"520.068,09",BTC-BRL
2024-11-18 21:08,"520.200,45",BTC-BRL
2024-11-18 21:09,"520.401,85",BTC-BRL
2024-11-18 21:10,"520.919,25",BTC-BRL
2024-11-18 21:11,"520.854,82",BTC-BRL
2024-11-18 21:12,"521.075,48",BTC-BRL
2024-11-18 21:13,"520.947,11",BTC-BRL
2024-11-18 21:14,"520.667,90",BTC-BRL
2024-11-18 21:15,"520.645,42",BTC-BRL
2024-11-18 21:16,"520.612,96",BTC-BRL
2024-11-18 21:17,"520.612,96",BTC-BRL
2024-11-18 21:18,"520.737,26",BTC-BRL
2024-11-18 21:19,"520.738,30",BTC-BRL
2024-11-18 21:20,"520.784,58",BTC-BRL
2024-11-18 21:21,"520.784,58",BTC-BRL
2024-11-18 21:22,"520.872,76",BTC-BRL
2024-11-18 21:23,"520.646,86",BTC-BRL
2024-11-18 21:24,"520.646,86",BTC-BRL
2024-11-18 21:25,"520.512,69",BTC-BRL
2024-11-18 21:26,"520.577,76",BTC-BRL
2024-11-18 21:27,"520.973,38",BTC-BRL
2024-11-18 21:28,"521.103,82",BTC-BRL
2024-11-18 21:29,"521.072,65",BTC-BRL
2024-11-18 21:30,"521.072,65",BTC-BRL
2024-11-18 21:31,"521.101,80",BTC-BRL
2024-11-18 21:32,"521.092,81",BTC-BRL
2024-11-18 21:33,"520.761,48",BTC-BRL
2024-11-18 21:34,"520.761,48",BTC-BRL
2024-11-18 21:35,"520.531,66",BTC-BRL
2024-11-18 21:36,"520.531,66",BTC-BRL
2024-11-18 21:37,"520.963,13",BTC-BRL
2024-11-18 21:38,"521.138,28",BTC-BRL
2024-11-18 21:39,"521.138,28",BTC-BRL
2024-11-18 21:40,"521.737,65",BTC-BRL
2024-11-18 21:41,"521.732,19",BTC-BRL
2024-11-18 21:42,"522.071,11",BTC-BRL
2024-11-18 21:43,"522.071,11",BTC-BRL
2024-11-18 21:44,"522.141,45",BTC-BRL
2024-11-18 21:45,"522.218,75",BTC-BRL
2024-11-18 21:46,"522.391,44",BTC-BRL
2024-11-18 21:47,"522.449,90",BTC-BRL
2024-11-18 21:48,"522.449,90",BTC-BRL
2024-11-18 21:49,"522.222,56",BTC-BRL
2024-11-18 21:50,"522.216,35",BTC-BRL
2024-11-18 21:51,"522.322,18",BTC-BRL
2024-11-18 21:52,"522.322,18",BTC-BRL
2024-11-18 21:53,"523.125,81",BTC-BRL
2024-11-18 21:54,"523.125,12",BTC-BRL
2024-11-18 21:55,"523.188,87",BTC-BRL
2024-11-18 21:56,"524.205,97",BTC-BRL
2024-11-18 21:57,"524.258,01",BTC-BRL
