Data_minute,Valor,Ticker
2024-11-21 10:00,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:01,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:02,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:03,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:04,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:05,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:06,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:07,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:08,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:09,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:10,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:11,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:12,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:13,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:14,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:15,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:16,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:17,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:18,"R$ 17,69",NVDC34:BVMF
2024-11-21 10:19,"R$ 17,55",NVDC34:BVMF
2024-11-21 10:20,"R$ 17,59",NVDC34:BVMF
2024-11-21 10:21,"R$ 17,56",NVDC34:BVMF
2024-11-21 10:22,"R$ 17,54",NVDC34:BVMF
2024-11-21 10:23,"R$ 17,57",NVDC34:BVMF
2024-11-21 10:24,"R$ 17,58",NVDC34:BVMF
2024-11-21 10:25,"R$ 17,56",NVDC34:BVMF
2024-11-21 10:26,"R$ 17,56",NVDC34:BVMF
2024-11-21 10:27,"R$ 17,58",NVDC34:BVMF
2024-11-21 10:28,"R$ 17,61",NVDC34:BVMF
2024-11-21 10:29,"R$ 17,67",NVDC34:BVMF
2024-11-21 10:30,"R$ 17,66",NVDC34:BVMF
2024-11-21 10:31,"R$ 17,66",NVDC34:BVMF
2024-11-21 10:32,"R$ 17,70",NVDC34:BVMF
2024-11-21 10:33,"R$ 17,72",NVDC34:BVMF
