Data_minute,Valor,Ticker
2024-11-21 00:00,"545.081,89",BTC-BRL
2024-11-21 00:01,"545.106,02",BTC-BRL
2024-11-21 00:02,"545.106,02",BTC-BRL
2024-11-21 00:03,"545.289,82",BTC-BRL
2024-11-21 00:04,"545.468,20",BTC-BRL
2024-11-21 00:05,"545.520,44",BTC-BRL
2024-11-21 00:06,"545.520,44",BTC-BRL
2024-11-21 00:07,"546.435,76",BTC-BRL
2024-11-21 00:08,"546.472,42",BTC-BRL
2024-11-21 00:09,"546.472,42",BTC-BRL
2024-11-21 00:10,"547.087,90",BTC-BRL
2024-11-21 00:11,"547.087,90",BTC-BRL
2024-11-21 00:12,"547.632,04",BTC-BRL
2024-11-21 00:13,"547.632,04",BTC-BRL
2024-11-21 00:14,"547.651,55",BTC-BRL
2024-11-21 00:15,"547.671,12",BTC-BRL
2024-11-21 00:16,"547.720,19",BTC-BRL
2024-11-21 00:17,"547.720,19",BTC-BRL
2024-11-21 00:18,"547.882,81",BTC-BRL
2024-11-21 00:19,"547.882,81",BTC-BRL
2024-11-21 00:20,"547.893,25",BTC-BRL
2024-11-21 00:21,"547.869,30",BTC-BRL
2024-11-21 00:22,"547.899,43",BTC-BRL
2024-11-21 00:23,"547.899,43",BTC-BRL
2024-11-21 00:24,"548.126,76",BTC-BRL
2024-11-21 00:25,"548.090,22",BTC-BRL
2024-11-21 00:26,"548.090,22",BTC-BRL
2024-11-21 00:27,"548.114,41",BTC-BRL
2024-11-21 00:28,"548.277,66",BTC-BRL
2024-11-21 00:29,"548.874,84",BTC-BRL
2024-11-21 00:30,"549.341,28",BTC-BRL
2024-11-21 00:31,"550.339,32",BTC-BRL
2024-11-21 00:32,"550.408,25",BTC-BRL
2024-11-21 00:33,"550.233,91",BTC-BRL
2024-11-21 00:34,"550.460,55",BTC-BRL
2024-11-21 00:35,"550.460,55",BTC-BRL
2024-11-21 00:36,"551.833,29",BTC-BRL
2024-11-21 00:37,"552.201,25",BTC-BRL
2024-11-21 00:38,"552.343,14",BTC-BRL
2024-11-21 00:39,"552.877,29",BTC-BRL
2024-11-21 00:40,"552.608,72",BTC-BRL
2024-11-21 00:41,"551.801,76",BTC-BRL
2024-11-21 00:42,"551.935,35",BTC-BRL
2024-11-21 00:43,"551.579,59",BTC-BRL
2024-11-21 00:44,"551.818,65",BTC-BRL
2024-11-21 00:45,"552.062,04",BTC-BRL
2024-11-21 00:46,"551.767,45",BTC-BRL
2024-11-21 00:47,"552.139,46",BTC-BRL
2024-11-21 00:48,"552.371,23",BTC-BRL
2024-11-21 00:49,"552.334,23",BTC-BRL
2024-11-21 00:50,"552.676,13",BTC-BRL
2024-11-21 00:51,"552.847,11",BTC-BRL
2024-11-21 00:52,"553.101,09",BTC-BRL
2024-11-21 00:53,"553.278,99",BTC-BRL
2024-11-21 00:54,"553.663,24",BTC-BRL
2024-11-21 00:55,"553.656,03",BTC-BRL
2024-11-21 00:56,"553.656,03",BTC-BRL
2024-11-21 00:57,"553.653,05",BTC-BRL
2024-11-21 00:58,"553.682,27",BTC-BRL
2024-11-21 00:59,"553.753,74",BTC-BRL
2024-11-21 01:00,"553.902,46",BTC-BRL
2024-11-21 01:01,"553.497,40",BTC-BRL
2024-11-21 01:02,"553.625,39",BTC-BRL
2024-11-21 01:03,"553.426,85",BTC-BRL
2024-11-21 01:04,"553.598,89",BTC-BRL
2024-11-21 01:05,"553.598,89",BTC-BRL
2024-11-21 01:06,"554.180,63",BTC-BRL
2024-11-21 01:07,"555.140,61",BTC-BRL
2024-11-21 01:08,"555.140,61",BTC-BRL
2024-11-21 01:09,"557.038,65",BTC-BRL
2024-11-21 01:10,"556.803,14",BTC-BRL
2024-11-21 01:11,"557.009,48",BTC-BRL
2024-11-21 01:12,"557.141,92",BTC-BRL
2024-11-21 01:13,"557.637,61",BTC-BRL
2024-11-21 01:14,"558.410,48",BTC-BRL
2024-11-21 01:15,"558.513,42",BTC-BRL
2024-11-21 01:16,"558.430,89",BTC-BRL
2024-11-21 01:17,"558.470,92",BTC-BRL
2024-11-21 01:18,"558.073,06",BTC-BRL
2024-11-21 01:19,"558.073,06",BTC-BRL
2024-11-21 01:20,"557.537,52",BTC-BRL
2024-11-21 01:21,"557.547,33",BTC-BRL
2024-11-21 01:22,"557.272,39",BTC-BRL
2024-11-21 01:23,"557.272,39",BTC-BRL
2024-11-21 01:24,"557.415,43",BTC-BRL
2024-11-21 01:25,"557.415,43",BTC-BRL
2024-11-21 01:26,"557.415,43",BTC-BRL
2024-11-21 01:27,"557.475,92",BTC-BRL
2024-11-21 01:28,"557.352,22",BTC-BRL
2024-11-21 01:29,"557.114,81",BTC-BRL
2024-11-21 01:30,"557.063,79",BTC-BRL
2024-11-21 01:31,"557.031,46",BTC-BRL
2024-11-21 01:32,"557.031,46",BTC-BRL
2024-11-21 01:33,"556.589,48",BTC-BRL
2024-11-21 01:34,"556.589,48",BTC-BRL
2024-11-21 01:35,"556.656,49",BTC-BRL
2024-11-21 01:36,"556.181,26",BTC-BRL
2024-11-21 01:37,"556.211,15",BTC-BRL
2024-11-21 01:38,"556.253,31",BTC-BRL
2024-11-21 01:39,"556.401,60",BTC-BRL
2024-11-21 01:40,"556.683,87",BTC-BRL
2024-11-21 01:41,"556.683,87",BTC-BRL
2024-11-21 01:42,"556.960,98",BTC-BRL
2024-11-21 01:43,"557.326,33",BTC-BRL
2024-11-21 01:44,"557.403,79",BTC-BRL
2024-11-21 01:45,"557.350,11",BTC-BRL
2024-11-21 01:46,"557.346,99",BTC-BRL
2024-11-21 01:47,"557.769,59",BTC-BRL
2024-11-21 01:48,"557.548,78",BTC-BRL
2024-11-21 01:49,"557.350,73",BTC-BRL
2024-11-21 01:50,"557.785,82",BTC-BRL
2024-11-21 01:51,"557.898,02",BTC-BRL
2024-11-21 01:52,"558.197,25",BTC-BRL
2024-11-21 01:53,"559.314,94",BTC-BRL
2024-11-21 01:54,"559.082,02",BTC-BRL
2024-11-21 01:55,"559.082,02",BTC-BRL
2024-11-21 01:56,"559.070,82",BTC-BRL
2024-11-21 01:57,"559.782,45",BTC-BRL
2024-11-21 01:58,"561.299,10",BTC-BRL
2024-11-21 01:59,"561.299,10",BTC-BRL
2024-11-21 02:00,"562.845,58",BTC-BRL
2024-11-21 02:01,"563.004,86",BTC-BRL
2024-11-21 02:02,"563.097,09",BTC-BRL
2024-11-21 02:03,"562.867,37",BTC-BRL
2024-11-21 02:04,"562.259,81",BTC-BRL
2024-11-21 02:05,"562.221,05",BTC-BRL
2024-11-21 02:06,"562.221,05",BTC-BRL
2024-11-21 02:07,"562.777,72",BTC-BRL
2024-11-21 02:08,"562.777,72",BTC-BRL
2024-11-21 02:09,"563.044,03",BTC-BRL
2024-11-21 02:10,"563.021,95",BTC-BRL
2024-11-21 02:11,"563.143,20",BTC-BRL
2024-11-21 02:12,"563.143,20",BTC-BRL
2024-11-21 02:13,"563.207,81",BTC-BRL
2024-11-21 02:14,"563.197,01",BTC-BRL
2024-11-21 02:15,"563.223,76",BTC-BRL
2024-11-21 02:16,"562.517,20",BTC-BRL
2024-11-21 02:17,"562.712,62",BTC-BRL
2024-11-21 02:18,"562.858,04",BTC-BRL
2024-11-21 02:19,"563.456,92",BTC-BRL
2024-11-21 02:20,"563.611,28",BTC-BRL
2024-11-21 02:21,"563.611,28",BTC-BRL
2024-11-21 02:22,"563.536,14",BTC-BRL
2024-11-21 02:23,"562.769,37",BTC-BRL
2024-11-21 02:24,"562.820,29",BTC-BRL
2024-11-21 02:25,"562.820,76",BTC-BRL
2024-11-21 02:26,"563.624,16",BTC-BRL
2024-11-21 02:27,"563.455,26",BTC-BRL
2024-11-21 02:28,"563.455,26",BTC-BRL
2024-11-21 02:29,"563.580,78",BTC-BRL
2024-11-21 02:30,"563.580,78",BTC-BRL
2024-11-21 02:31,"563.850,36",BTC-BRL
2024-11-21 02:32,"563.792,64",BTC-BRL
2024-11-21 02:33,"563.792,64",BTC-BRL
2024-11-21 02:34,"563.849,80",BTC-BRL
2024-11-21 02:35,"563.925,31",BTC-BRL
2024-11-21 02:36,"563.925,31",BTC-BRL
2024-11-21 02:38,"564.270,09",BTC-BRL
2024-11-21 02:39,"564.141,37",BTC-BRL
2024-11-21 02:40,"564.141,37",BTC-BRL
2024-11-21 02:41,"563.021,12",BTC-BRL
2024-11-21 02:42,"563.181,49",BTC-BRL
2024-11-21 02:43,"563.149,60",BTC-BRL
2024-11-21 02:44,"563.149,60",BTC-BRL
2024-11-21 02:45,"563.161,97",BTC-BRL
2024-11-21 02:46,"563.402,99",BTC-BRL
2024-11-21 02:47,"563.466,71",BTC-BRL
2024-11-21 02:48,"563.026,55",BTC-BRL
2024-11-21 02:49,"562.873,63",BTC-BRL
2024-11-21 02:50,"562.873,63",BTC-BRL
2024-11-21 02:51,"562.631,50",BTC-BRL
2024-11-21 02:52,"562.631,50",BTC-BRL
2024-11-21 02:53,"562.387,42",BTC-BRL
2024-11-21 02:54,"560.399,77",BTC-BRL
2024-11-21 02:55,"560.399,77",BTC-BRL
2024-11-21 02:56,"560.077,81",BTC-BRL
2024-11-21 02:57,"560.077,81",BTC-BRL
2024-11-21 02:58,"560.656,51",BTC-BRL
2024-11-21 02:59,"560.814,23",BTC-BRL
2024-11-21 03:00,"561.093,61",BTC-BRL
2024-11-21 03:01,"561.582,31",BTC-BRL
2024-11-21 03:02,"561.582,31",BTC-BRL
2024-11-21 03:03,"561.391,77",BTC-BRL
2024-11-21 03:04,"561.399,92",BTC-BRL
2024-11-21 03:05,"561.258,03",BTC-BRL
2024-11-21 03:06,"561.157,85",BTC-BRL
2024-11-21 03:07,"560.902,16",BTC-BRL
2024-11-21 03:08,"561.283,16",BTC-BRL
2024-11-21 03:09,"561.283,16",BTC-BRL
2024-11-21 03:10,"561.200,66",BTC-BRL
2024-11-21 03:11,"561.085,06",BTC-BRL
2024-11-21 03:12,"561.085,06",BTC-BRL
2024-11-21 03:13,"561.133,71",BTC-BRL
2024-11-21 03:14,"561.118,34",BTC-BRL
2024-11-21 03:15,"561.118,34",BTC-BRL
2024-11-21 03:16,"561.018,64",BTC-BRL
2024-11-21 03:17,"560.992,78",BTC-BRL
2024-11-21 03:18,"561.186,92",BTC-BRL
2024-11-21 03:19,"560.854,55",BTC-BRL
2024-11-21 03:20,"560.177,20",BTC-BRL
2024-11-21 03:21,"560.177,20",BTC-BRL
2024-11-21 03:22,"560.439,04",BTC-BRL
2024-11-21 03:23,"560.206,33",BTC-BRL
2024-11-21 03:24,"559.278,51",BTC-BRL
2024-11-21 03:25,"559.437,78",BTC-BRL
2024-11-21 03:26,"559.638,41",BTC-BRL
2024-11-21 03:27,"561.393,98",BTC-BRL
2024-11-21 03:28,"561.626,75",BTC-BRL
2024-11-21 03:29,"561.331,93",BTC-BRL
2024-11-21 03:30,"561.336,21",BTC-BRL
2024-11-21 03:31,"561.207,89",BTC-BRL
2024-11-21 03:32,"561.207,89",BTC-BRL
2024-11-21 03:33,"561.513,78",BTC-BRL
2024-11-21 03:34,"561.513,78",BTC-BRL
2024-11-21 03:35,"561.742,07",BTC-BRL
2024-11-21 03:36,"561.742,07",BTC-BRL
2024-11-21 03:37,"561.670,35",BTC-BRL
2024-11-21 03:38,"561.715,57",BTC-BRL
2024-11-21 03:39,"561.478,72",BTC-BRL
2024-11-21 03:40,"561.478,72",BTC-BRL
2024-11-21 03:41,"561.587,99",BTC-BRL
2024-11-21 03:42,"561.753,11",BTC-BRL
2024-11-21 03:43,"561.939,83",BTC-BRL
2024-11-21 03:44,"561.939,83",BTC-BRL
2024-11-21 03:45,"562.177,16",BTC-BRL
2024-11-21 03:46,"562.191,38",BTC-BRL
2024-11-21 03:47,"562.191,38",BTC-BRL
2024-11-21 03:48,"561.792,89",BTC-BRL
2024-11-21 03:49,"561.630,04",BTC-BRL
2024-11-21 03:50,"561.239,13",BTC-BRL
2024-11-21 03:51,"560.981,91",BTC-BRL
2024-11-21 03:52,"560.981,91",BTC-BRL
2024-11-21 03:53,"561.069,86",BTC-BRL
2024-11-21 03:54,"560.874,84",BTC-BRL
2024-11-21 03:55,"560.767,83",BTC-BRL
2024-11-21 03:56,"560.767,83",BTC-BRL
2024-11-21 03:57,"560.732,08",BTC-BRL
2024-11-21 03:58,"560.647,26",BTC-BRL
2024-11-21 03:59,"560.647,26",BTC-BRL
2024-11-21 04:00,"560.586,10",BTC-BRL
2024-11-21 04:01,"560.360,70",BTC-BRL
2024-11-21 04:02,"560.434,22",BTC-BRL
2024-11-21 04:03,"560.730,38",BTC-BRL
2024-11-21 04:04,"560.595,17",BTC-BRL
2024-11-21 04:05,"560.594,53",BTC-BRL
2024-11-21 04:06,"560.566,80",BTC-BRL
2024-11-21 04:07,"560.489,80",BTC-BRL
2024-11-21 04:08,"560.433,74",BTC-BRL
2024-11-21 04:09,"560.720,33",BTC-BRL
2024-11-21 04:10,"560.974,21",BTC-BRL
2024-11-21 04:11,"560.881,21",BTC-BRL
2024-11-21 04:12,"560.763,35",BTC-BRL
2024-11-21 04:13,"560.747,85",BTC-BRL
2024-11-21 04:14,"560.747,85",BTC-BRL
2024-11-21 04:15,"560.683,90",BTC-BRL
2024-11-21 04:16,"560.779,15",BTC-BRL
2024-11-21 04:17,"560.644,68",BTC-BRL
2024-11-21 04:18,"560.808,02",BTC-BRL
2024-11-21 04:19,"560.994,19",BTC-BRL
2024-11-21 04:20,"560.977,90",BTC-BRL
2024-11-21 04:21,"560.977,90",BTC-BRL
2024-11-21 04:22,"561.206,35",BTC-BRL
2024-11-21 04:23,"561.354,26",BTC-BRL
