Data_minute,Valor,Ticker
2024-11-21 10:00,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:01,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:02,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:03,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:04,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:05,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:06,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:07,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:08,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:09,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:10,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:11,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:12,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:13,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:14,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:15,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:16,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:17,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:18,"R$ 9,24",MXRF11:BVMF
2024-11-21 10:19,"R$ 9,27",MXRF11:BVMF
2024-11-21 10:20,"R$ 9,27",MXRF11:BVMF
2024-11-21 10:21,"R$ 9,27",MXRF11:BVMF
2024-11-21 10:22,"R$ 9,27",MXRF11:BVMF
2024-11-21 10:23,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:24,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:25,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:26,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:27,"R$ 9,25",MXRF11:BVMF
2024-11-21 10:28,"R$ 9,27",MXRF11:BVMF
2024-11-21 10:29,"R$ 9,27",MXRF11:BVMF
2024-11-21 10:30,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:31,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:32,"R$ 9,27",MXRF11:BVMF
2024-11-21 10:33,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:34,"R$ 9,25",MXRF11:BVMF
2024-11-21 10:35,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:36,"R$ 9,25",MXRF11:BVMF
2024-11-21 10:37,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:38,"R$ 9,27",MXRF11:BVMF
2024-11-21 10:39,"R$ 9,27",MXRF11:BVMF
2024-11-21 10:40,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:41,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:42,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:43,"R$ 9,25",MXRF11:BVMF
2024-11-21 10:44,"R$ 9,26",MXRF11:BVMF
2024-11-21 10:45,"R$ 9,26",MXRF11:BVMF
